name of file ,feature 1 , feature 2 , feature 3 , feature 4, feature 5, feature 6, result
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted83.txt,14802,2003,518,6677,289,312,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted153.txt,16886,2496,642,7284,283,312,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted22.txt,24729,3689,922,10913,432,480,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted6.txt,30704,4368,1092,13699,616,664,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted230.txt,29901,4237,1054,13350,604,654,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted265.txt,15675,2213,556,7015,322,350,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted213.txt,22107,2997,816,9726,440,482,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted34.txt,21226,3005,715,9533,448,480,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted165.txt,31001,4616,1144,13660,544,602,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted203.txt,26660,3693,919,11990,531,576,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted207.txt,20105,2790,697,9039,426,454,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted193.txt,28654,4260,895,12694,580,642,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted149.txt,20767,3072,791,8971,334,370,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted81.txt,15114,2122,563,6743,307,338,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted157.txt,26808,3935,978,11878,490,536,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted74.txt,25272,3491,903,11272,504,550,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted92.txt,18726,2924,549,8233,382,422,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted176.txt,26660,3693,919,11990,531,572,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted275.txt,27220,3954,961,12112,519,570,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted199.txt,27681,4132,895,12271,572,630,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted90.txt,39923,5821,1492,17495,719,796,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted9.txt,17417,2556,661,7530,284,310,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted228.txt,24732,3406,884,11097,501,554,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted274.txt,19641,2762,741,8534,358,388,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted217.txt,16096,2413,494,7037,309,342,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted7.txt,30041,4489,932,13336,602,668,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted185.txt,21288,3160,675,9374,428,474,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted64.txt,23661,3257,820,10634,469,502,0
/root/Desktop/final Project/DATASET 600 files/Unencrypted/Unencrypted16.txt,18517,2708,650,8211,374,410,0
