name of file ,feature 1 , feature 2 , feature 3 , feature 4, result
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted369.txt,544,119,43,189,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted465.txt,167,28,12,58,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted662.txt,234,40,12,79,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted83.txt,427,77,18,139,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted153.txt,527,101,27,198,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted22.txt,163,34,9,52,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted1038.txt,411,75,24,140,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted6.txt,487,99,26,167,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted311.txt,346,59,20,131,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted230.txt,601,121,35,171,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted766.txt,519,92,24,189,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted1006.txt,470,72,16,144,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted265.txt,542,88,16,204,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted384.txt,564,106,33,196,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted213.txt,508,104,21,155,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted34.txt,588,109,23,193,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted348.txt,372,62,13,119,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted931.txt,352,60,10,117,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted165.txt,77,14,5,28,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted404.txt,524,78,28,183,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted203.txt,399,77,26,150,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted814.txt,251,38,9,86,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted207.txt,592,98,34,190,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted928.txt,305,61,13,94,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted941.txt,392,60,16,132,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted193.txt,445,99,21,154,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted437.txt,497,90,21,158,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted149.txt,174,37,9,58,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted825.txt,129,23,12,44,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted516.txt,135,26,3,52,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted477.txt,391,66,21,142,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted550.txt,334,56,20,114,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted81.txt,93,16,6,27,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted157.txt,191,37,11,61,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted857.txt,125,21,7,41,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted887.txt,420,84,18,130,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted74.txt,124,25,5,40,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted472.txt,317,60,9,100,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted92.txt,560,113,24,171,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted176.txt,302,63,20,96,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted946.txt,173,33,9,50,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted588.txt,262,49,15,100,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted473.txt,269,42,16,91,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted475.txt,512,98,27,168,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted960.txt,138,29,11,36,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted275.txt,452,83,10,141,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted503.txt,262,56,11,84,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted687.txt,442,79,18,145,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted199.txt,228,30,14,78,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted457.txt,629,110,28,208,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted674.txt,245,48,8,68,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted1069.txt,202,38,8,74,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted90.txt,162,26,7,55,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted9.txt,333,74,15,88,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted228.txt,502,96,29,170,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted1091.txt,89,15,9,28,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted650.txt,471,84,23,156,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted274.txt,404,66,18,133,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted947.txt,155,27,7,49,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted783.txt,307,57,20,96,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted1025.txt,446,81,40,170,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted331.txt,560,89,37,196,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted1031.txt,307,50,16,102,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted468.txt,243,58,13,72,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted893.txt,107,22,1,36,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted217.txt,338,71,14,104,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted393.txt,527,90,21,174,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted1104.txt,191,32,8,64,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted7.txt,563,112,31,194,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted699.txt,199,42,15,85,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted1052.txt,454,78,24,180,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted994.txt,320,72,13,94,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted185.txt,635,121,39,204,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted963.txt,90,22,2,29,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted1020.txt,401,78,16,128,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted1043.txt,82,14,5,29,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted338.txt,378,70,37,136,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted440.txt,561,109,25,194,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted700.txt,239,41,12,83,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted409.txt,206,38,12,59,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted1004.txt,163,29,8,57,0
/root/Desktop/final Project/DATASET 2260 files/Unencrypted/Unencrypted64.txt,405,89,24,115,0
