name of file ,feature 1 , feature 2 , feature 3 , feature 4, feature 5, feature 6, result
/root/Desktop/final Project/DATASET 18000 files/Unencrypted/only english chars + numbers/Unencrypted2714.txt,1738,808,341,249,277,634,0
/root/Desktop/final Project/DATASET 18000 files/Unencrypted/only english chars + numbers/Unencrypted1278.txt,7548,3400,1710,1158,1357,3032,0
/root/Desktop/final Project/DATASET 18000 files/Unencrypted/only english chars + numbers/Unencrypted1492.txt,3348,1487,635,499,505,1138,0
/root/Desktop/final Project/DATASET 18000 files/Unencrypted/only english chars + numbers/Unencrypted1274.txt,3489,1482,748,577,641,1452,0
/root/Desktop/final Project/DATASET 18000 files/Unencrypted/only english chars + numbers/Unencrypted1862.txt,5872,2906,1285,1314,737,2278,0
/root/Desktop/final Project/DATASET 18000 files/Unencrypted/only english chars + numbers/Unencrypted369.txt,2969,570,166,935,381,784,0
/root/Desktop/final Project/DATASET 18000 files/Unencrypted/only english chars + numbers/Unencrypted465.txt,8438,914,1538,3386,772,1892,0
/root/Desktop/final Project/DATASET 18000 files/Unencrypted/only english chars + numbers/Unencrypted662.txt,3416,562,157,1685,366,1066,0
/root/Desktop/final Project/DATASET 18000 files/Unencrypted/only english chars + numbers/Unencrypted2814.txt,6734,3171,1427,978,1237,2798,0
/root/Desktop/final Project/DATASET 18000 files/Unencrypted/only english chars + numbers/Unencrypted1139.txt,2729,1202,556,472,447,998,0
/root/Desktop/final Project/DATASET 18000 files/Unencrypted/only english chars + numbers/Unencrypted83.txt,2929,1301,608,440,507,1154,0
/root/Desktop/final Project/DATASET 18000 files/Unencrypted/only english chars + numbers/Unencrypted153.txt,5264,1024,321,1774,675,1406,0
/root/Desktop/final Project/DATASET 18000 files/Unencrypted/only english chars + numbers/Unencrypted22.txt,4457,835,243,1463,568,1194,0
/root/Desktop/final Project/DATASET 18000 files/Unencrypted/only english chars + numbers/Unencrypted2471.txt,1477,784,329,182,251,568,0
/root/Desktop/final Project/DATASET 18000 files/Unencrypted/only english chars + numbers/Unencrypted1250.txt,6574,2900,1415,1006,1042,2334,0
/root/Desktop/final Project/DATASET 18000 files/Unencrypted/only english chars + numbers/Unencrypted1625.txt,703,331,128,67,114,256,0
/root/Desktop/final Project/DATASET 18000 files/Unencrypted/only english chars + numbers/Unencrypted2210.txt,3069,599,219,1174,387,1042,0
/root/Desktop/final Project/DATASET 18000 files/Unencrypted/only english chars + numbers/Unencrypted1508.txt,806,313,134,121,131,290,0
