name of file ,feature 1 , feature 2 , feature 3 , feature 4, feature 5, feature 6, result
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted369.txt,18620,2558,701,8322,102,426,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted465.txt,37160,5456,1365,16304,177,728,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted662.txt,34161,4887,1225,15263,175,726,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted83.txt,14802,2003,518,6677,76,312,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted153.txt,16886,2496,642,7284,75,312,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted22.txt,24729,3689,922,10913,114,480,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted6.txt,30704,4368,1092,13699,158,664,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted311.txt,33673,4989,1091,14974,187,772,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted230.txt,29901,4237,1054,13350,155,654,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted766.txt,22586,3115,837,10073,128,526,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted265.txt,15675,2213,556,7015,84,350,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted384.txt,35362,5080,1266,15780,179,758,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted213.txt,22107,2997,816,9726,113,482,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted34.txt,21226,3005,715,9533,114,480,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted348.txt,20364,2927,681,9155,109,472,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted165.txt,31001,4616,1144,13660,149,602,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted404.txt,21042,2946,708,9472,115,480,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted203.txt,26660,3693,919,11990,138,576,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted814.txt,17963,2589,605,8064,98,416,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted207.txt,20105,2790,697,9039,107,454,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted193.txt,28654,4260,895,12694,151,642,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted437.txt,15149,2330,560,6659,72,300,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted149.txt,20767,3072,791,8971,84,370,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted825.txt,24291,3333,836,10935,125,514,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted516.txt,18890,2762,609,8469,107,454,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted477.txt,18530,2698,645,8316,101,416,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted550.txt,19451,2637,695,8617,104,434,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted81.txt,15114,2122,563,6743,79,338,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted157.txt,26808,3935,978,11878,133,536,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted857.txt,25812,3539,940,11496,140,590,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted887.txt,22333,3240,793,9929,113,462,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted74.txt,25272,3491,903,11272,130,550,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted472.txt,34412,4906,1299,15084,173,710,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted92.txt,18726,2924,549,8233,99,422,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted176.txt,26660,3693,919,11990,140,572,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted588.txt,17498,2546,572,7856,100,420,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted473.txt,29817,4324,1064,13275,147,612,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted475.txt,33057,4635,1222,14560,168,710,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted275.txt,27220,3954,961,12112,136,570,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted503.txt,27212,3769,958,12249,143,588,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted687.txt,20992,3236,793,9208,95,398,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted199.txt,27681,4132,895,12271,148,630,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted457.txt,16414,2241,599,7311,92,380,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted674.txt,22022,3065,742,9908,117,496,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted90.txt,39923,5821,1492,17495,192,796,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted9.txt,17417,2556,661,7530,75,310,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted228.txt,24732,3406,884,11097,133,554,0
/root/Desktop/final Project/DATASET 1800 files/Unencrypted/Unencrypted650.txt,29228,4361,963,12903,157,676,0
